customer_id,username,email,nombre,password,customer_city,direccion,documento_de_identidad
1,hugh.womble6494,gonzalezhelena@example.com,Hugh Womble,tD6kWwEM!r,Cartagena,"Cr. 167 Bis Q # 4-96 Sur, El Tarra, 706881",0615957315
2,martin.ling7414,luis34@example.net,Martin Ling,9_44+MN9jk,BogotÃ¡,"Av. San Francisco # 92Y-6 Sur, Guayabetal, 542375",6238537797
3,deane.archibald7614,saul82@example.com,Deane Archibald,(nCQ8JHJb9,MedellÃ­n,"Carrera 119 # 2B-8 Sur, PiendamÃ³ - TunÃ­a, 521474",5287761705
4,edward.turkus9123,omar48@example.net,Edward Turkus,$SdhZRsn68,BogotÃ¡,"Tr. 8Âª # 38O-7, Marinilla, 972059",5238930527
5,melissa.tussey2924,frojas@example.org,Melissa Tussey,p3bJPE#c*g,MedellÃ­n,"Avenida calle 15 # 7-28 Sur, GuÃ¡tica, 192182",5421084834
6,priscilla.blackburn3438,lopezlina@example.com,Priscilla Blackburn,i^8hJ3NfBI,Cartagena,"Carrera 85H # 77-52 Este, Soplaviento, 183060",0834090048
7,mark.davis4109,pachecoaurora@example.org,Mark Davis,p6LHCVHo$G,Cartagena,"Cl. 20 # 1-22, GuachenÃ©, 978296",8827185057
8,althea.thompson428,rubielazambrano@example.com,Althea Thompson,)cg1QBmiyy,MedellÃ­n,"Carrera 66 # 68-5 Sur, La Ceja, 631594",5271756902
9,lorraine.payne6919,bperez@example.com,Lorraine Payne,F00Iiz3B2),Cali,"Cl. 56 # 10-20 Sur, Betania, 662025",2060053503
10,antonio.imhof3586,gloriaprada@example.com,Antonio Imhof,W$!4uQVymr,Cali,"Carrera 18E Bis # 25-3, DonmatÃ­as, 762859",2089898749
11,jose.moritz3300,elena15@example.net,Jose Moritz,z8BzTz(Q&j,Cali,"Carrera 4E # 41-9, California, 912599",2146310376
12,bessie.eskridge8660,karol34@example.com,Bessie Eskridge,&z32UmHbx(,BogotÃ¡,"Cl. 121W Este # 4-9 Este, Urrao, 996221",5074965719
13,rebekah.girouard1775,vivianamartinez@example.org,Rebekah Girouard,I+mS7FgaCt,Cartagena,"Carrera 52 # 80-6 Sur, Tangua, 115081",2066522318
14,jerry.hunter6552,fabian38@example.net,Jerry Hunter,&eDYMvJqB8,Cali,"Carrera 140U Bis E # 8-40 Este, Sogamoso, 131864",1090652255
15,christopher.garfinkle9702,pmendez@example.com,Christopher Garfinkle,)LOR#d!q25,Cartagena,"Carrera 12 # 75-73 Este, CoveÃ±as, 955822",6000322905
16,melissa.delcamp9341,jesusacevedo@example.com,Melissa Delcamp,ZO1aEPcbA*,BogotÃ¡,"Cl. 4Âª # 3H-5 Este, MontelÃ­bano, 866948",3180441402
17,alyce.montney3749,helena40@example.com,Alyce Montney,Mw5RuzqB_h,Cartagena,"Avenida Silos # 79-2 Sur, Piedras, 528183",0673952947
18,andrew.bell3940,danna14@example.com,Andrew Bell,&L1PWSvBw),Cartagena,"Calle 122 # 46-9 Este, ChinchinÃ¡, 194647",4185035706
19,michael.buckman8508,alexander87@example.org,Michael Buckman,pJMnE!hl^5,BogotÃ¡,"Av. calle 2Âª # 3-44 Este, MistratÃ³, 864889",4765623572
20,donald.hughes5593,yperdomo@example.net,Donald Hughes,d1(G1Ch9)_,Cartagena,"Avenida carrera 4Âª # 34O-7 Este, San Luis de Gaceno, 196914",4036841466
21,david.genova3460,maria80@example.net,David Genova,@v*#lMTr!3,Cartagena,"Cl. 180H # 6-14 Sur, San Juan Nepomuceno, 882456",1582866583
22,francisco.beaulieu9213,fernandogarcia@example.org,Francisco Beaulieu,$fo#N^lc0C,Cali,"Calle 77 # 97K-83 Este, Honda, 857227",6734970005
23,curtis.smith2584,lbarbosa@example.net,Curtis Smith,_XW4sShZ59,BogotÃ¡,"Cl. 2W Este # 7-8 Sur, San Pablo de Borbur, 704558",2020717450
24,lupe.washington441,gomezalberto@example.org,Lupe Washington,iS4W*3HhAw,Cali,"Carrera 90 # 8-5, Macanal, 687712",1365802093
25,michael.peirce3455,torresadriana@example.com,Michael Peirce,+jalL^dAJ3,BogotÃ¡,"Dg. 5Âª # 1-7 Este, Anserma, 234219",7833008129
26,nathan.bailey422,jairo90@example.org,Nathan Bailey,wj6NZ0L6w&,Cartagena,"Calle 14 # 65D-1 Sur, Sucre, 185959",7541946309
27,michael.slattery2176,jorge74@example.com,Michael Slattery,3!82VeY_@@,BogotÃ¡,"Cr. 126 Sur # 19-8, ValparaÃ­so, 994792",1398789674
28,derek.francescone5535,rodrigo93@example.net,Derek Francescone,+1iYZAZv*D,Cali,"Tr. 103G # 8-66 Sur, Santa BÃ¡rbara, 417649",1647734299
29,karlene.james8734,kcastro@example.net,Karlene James,+*Q4PiBiKS,Cali,"Carrera 20 # 8-62 Este, AgustÃ­n Codazzi, 135699",2055803884
30,bertha.baker1054,ortegadayana@example.net,Bertha Baker,U6Oui&7V(r,Cali,"Calle 177 # 8-62, Sabanas de San Ãngel, 949686",3183869325
31,sarah.covert5550,antonio80@example.net,Sarah Covert,!t5Fhci(At,Cali,"Cl. 85 # 7-67 Sur, El Doncello, 634032",8836157430
32,martha.knight9936,ingrid49@example.org,Martha Knight,2m!UAW7j#$,Cartagena,"Calle 116 # 92Z-67, Santa FÃ© de Antioquia, 992129",5925281427
33,danny.rodriguez4462,vargasmarina@example.net,Danny Rodriguez,7T0HRojY+*,MedellÃ­n,"Av. carrera 13 # 5Y-19 Sur, Carolina, 952344",5025830695
34,jill.phillips6803,uribeluis@example.org,Jill Phillips,U+35X_Fk9K,Cartagena,"Carrera 30 # 98-2 Sur, VegachÃ­, 171440",6690031663
35,drew.fleniken3603,samir66@example.net,Drew Fleniken,sI8K0ZFs)L,BogotÃ¡,"Cl. 3Âª # 4-7 Sur, Chitaraque, 855558",5634467792
36,patricia.hopfensperger2565,dcontreras@example.net,Patricia Hopfensperger,z7bIm1ni_J,Cartagena,"Diagonal 51 # 4-81 Este, ChaguanÃ­, 660224",6843954506
37,cynthia.tureson3655,miguelvargas@example.org,Cynthia Tureson,^3&7VHSzOu,MedellÃ­n,"Calle 82S # 23-2 Este, Argelia, 990897",8468973030
38,harriett.schultz7464,joseorozco@example.net,Harriett Schultz,#r^*MdgD0L,MedellÃ­n,"Dg. 3Âª # 65-8, Villahermosa, 159329",5595355342
39,roxanne.evans5780,gutierrezcristina@example.com,Roxanne Evans,$1nT9PHr_c,Cartagena,"Av. carrera 181 # 6I-72, San Luis de Gaceno, 184822",5098777425
40,richard.lewis9032,ocardona@example.org,Richard Lewis,abrNzIr5(3,Cali,"Avenida Luna # 31-5, AbriaquÃ­, 661440",2122856464
41,don.henry3320,sebastian79@example.net,Don Henry,rZ3We&VxE),Cartagena,"Av. Gil # 77T-41 Este, MaripÃ­, 232444",9477745066
42,lanny.barkley2831,paola93@example.org,Lanny Barkley,%%5mNIIs*(,BogotÃ¡,"Carrera 183 # 48-9 Sur, Curillo, 706038",0099206340
43,george.martin8007,erika44@example.org,George Martin,93SIW^3k$3,Cartagena,"Carrera 96 # 80-7 Este, FacatativÃ¡, 991431",4106921529
44,david.waller5993,beltranelkin@example.org,David Waller,u4HLxhBa_v,Cali,"Av. calle 28 # 5J-22 Sur, JordÃ¡n, 258549",3514913819
45,amanda.richard2704,hocampo@example.com,Amanda Richard,8uGNGd+c!6,MedellÃ­n,"Carrera 2X # 63-32, RÃ¡quira, 880511",2688114425
46,homer.blanco5419,acaicedo@example.org,Homer Blanco,@Cv$8BaD3G,Cali,"Calle 85D Bis # 8-29, Abejorral, 680412",8538448371
47,william.kenyon7572,diazisabel@example.com,William Kenyon,jc^7TFe*GH,Cartagena,"Cl. 3Âª # 4E-20 Este, GÃ¡mbita, 194930",7116904177
48,whitney.anderton9604,lopezjefferson@example.net,Whitney Anderton,F%4iGJMnJ9,BogotÃ¡,"Cr. 6 Bis # 3-5 Este, Envigado, 737271",3310688737
49,josefina.edison7385,kposada@example.org,Josefina Edison,Lr_6GqWkkH,BogotÃ¡,"Carrera 191 Sur # 2-5 Este, Francisco Pizarro, 737168",7608614514
50,jennifer.spasiano4474,juan24@example.net,Jennifer Spasiano,sZ84If$u*%,MedellÃ­n,"Calle 45 # 3-7, Urumita, 413101",7830320566
51,christopher.valadez9416,tortega@example.com,Christopher Valadez,&AcmC2uDE1,Cali,"Carrera 4Âª # 73-5 Este, MarÃ­a la Baja, 916364",4419778394
52,barbara.waits5007,torresdaniela@example.com,Barbara Waits,w0!5SVFjAl,MedellÃ­n,"Cl. 27F # 6-6 Este, Bucaramanga, 949014",9134734184
53,mary.ramirez2871,garciajuan@example.com,Mary Ramirez,Uv@nj3Rhxe,Cali,"Diagonal 7Âª # 2-98 Sur, SoracÃ¡, 814383",6156712290
54,brian.vaughan108,patricia28@example.net,Brian Vaughan,N55aRii$!d,Cartagena,"Cl. 7K # 46-58, San JosÃ© del Guaviare, 765685",2602244060
55,leslie.cleckler8275,guzmandoris@example.org,Leslie Cleckler,1$6LjS+4DR,Cali,"Diagonal 146 Bis # 1O-2, Dabeiba, 154198",6636909302
